carpetArea,areaUnit,price,status,latitude,longitude,locality,propertyName,floors,bedRoom
396.5,sq.ft.,price on req,Ready To Move,19.186546,73.068871,Dombivli East,Marathon Nexworld,29,1
622.5,sq.ft.,price on req,Ready To Move,19.186546,73.068871,Dombivli East,Marathon Nexworld,29,2
217.19,sq.ft.,1954028,Ready To Move,19.186546,73.068871,Dombivli East,Marathon Nexworld,29,0
473.5,sq.ft.,4948415,Ready To Move,19.207707,73.111643,Dombivli East,Regency Anantam,23,1
689,sq.ft.,7800834.5,Ready To Move,19.207707,73.111643,Dombivli East,Regency Anantam,23,2
598,sq.ft.,9015956,Under Construction,19.209036,73.10731,Dombivli East,Lodha Codename Premier,7,2
759,sq.ft.,14121195,Under Construction,19.209036,73.10731,Dombivli East,Lodha Codename Premier,7,3
475,sq.ft.,1757500,Ready To Move,19.207454,73.099763,Dombivli East,Sundaram Shanidas Pride,7,1
675,sq.ft.,2497500,Ready To Move,19.207454,73.099763,Dombivli East,Sundaram Shanidas Pride,15,2
340,sq.ft.,1258000,Ready To Move,19.207454,73.099763,Dombivli East,Sundaram Shanidas Pride,15,0
652.08,sq.ft.,4830000,New Launch,19.688721,73.637107,thakurli,Balaji Govind,23,2
430,sq.ft.,4688000,New Launch,19.940118,73.18639,Dombivli East,Balaji Vasant,23,1
562.52,sq.ft.,6113000,New Launch,19.940118,73.18639,Dombivli East,Balaji Vasant,23,2
453.215,sq.ft.,3527044,New Launch,19.18939,73.08482,Dombivli East,Venus Skky City,23,1
574.745,sq.ft.,5745000,New Launch,19.18939,73.08482,Dombivli East,Venus Skky City,23,2
409.285,sq.ft.,4501367.5,Under Construction,19.182469,73.089484,Bhadra Nagar,Runwal Gardens,23,1
384,sq.ft.,price on req,Ready To Move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,18,1
524,sq.ft.,price on req,Ready To Move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,25,2
704,sq.ft.,price on req,Ready To Move,19.16697,73.072915,Dombivli East,Lodha Casa Bella Gold,25,3
398,sq.ft.,4200000,Ready to move,19.1569238,73.1138122,Dombivli East,Lodha Palava Downtown,25,1
432.745,sq.ft.,4898495,New Launch,19.186344,73.091203,Dombivli East,Paradise Sai World Dreams,32,1
692.925,sq.ft.,8157969,New Launch,19.186344,73.091203,Dombivli East,Paradise Sai World Dreams,32,2
